Site Name,Roman Name,Origin,Status,Defended,Second_Century_Defence,NGR,Site X,Site Y,Location_Source,Record_Number
Adel,,NA,Other,No,No,SE 277 411,427700,441100,Historic England,51607
Alcester,Alauna,Definite Fort,Other,Yes,No,SP 089 573,408900,257300,Historic England,328440
Alchester,,Probable Fort,Other,Yes,No,SP 5724 2025,457240,220250,Historic England,338885
Ashton,,Probable LPRIA site,Other,No,No,TL 04793 89138,504793,289138,Historic England,361094
Asthall,,NA,Other,No,No,SP 290 112,429000,211200,Historic England,332337
Badbury,Vindocladia,Probable LPRIA site,Other,No,No,ST 960 029,396000,102900,Historic England,209544
Baldock,,Definite LPRIA site,Other,No,No,TL 24911 33899,524911,233899,Historic England,365755
Bath,Aquae Sulis,Dual LPRIA/fort,Other,Yes,Yes,ST 7502 6477,375020,164770,Historic England,204118
Billingford,,NA,Other,No,No,TG 00840 20096,600840,320096,Historic England,1566975
Bitterne,CLAUSENTUM,NA,Other,Yes,Yes,SU 4342 1334,443420,113340,Historic England,230258
Blackwardine,,Uncertain,Other,No,No,SO 533 567,353300,256700,Historic England,110665
Bourne,,NA,Other,No,No,TF 169 218,516900,321800,Historic England,350727
Bourton-on-the-Water,,Probable LPRIA site,Other,No,No,SP 16 20,416000,220000,Historic England,330368
Braintree,,Definite LPRIA site,Other,No,No,TL 755 230,575500,223000,Historic England,379030
Braughing,,Definite LPRIA site,Other,No,No,TL 388 242,538800,224200,Historic England,367978
Brockley Hill,SULLONIACAE,NA,Other,No,No,TQ 175 940,517500,194000,Historic England,398293
Burgh-by-Sands,ABALLAVA,NA,Other,No,No,NY 330 590,333000,559000,Historic England,10758
Buxton,Aquae Arnemetiae,Dual LPRIA/fort,Other,No,No,SK 05791 73461,405791,373461,Historic England,306059
Caistor,Perhaps BANNOVALIUM,Uncertain,Other,No,No,TA 1168 0130,511680,401300,Historic England,80330
Cambridge,Duroliponte,Dual LPRIA/fort,Other,Yes,No,TL 4445 5926,544450,259260,Historic England,371356
Camerton,,Probable LPRIA site,Other,No,No,ST 688 562,368800,156200,Historic England,200496
Catterick,CATARACTONIUM,Definite Fort,Other,Yes,No,SE 22473 99142,422473,499142,Historic England,52316
Charterhouse-on-Mendip,Perhaps Iscalis,Definite Fort,Other,No,No,ST 500 562,350000,156200,Historic England,1519564
Chelmsford,Caesaromagus,Definite Fort,Other,Yes,Yes,TL 70899 06189,570899,206189,Historic England,378248
Chigwell,Durolitum,NA,Other,No,No,TQ 454 960,545400,196000,Historic England,408199
Coddenham,COMBRETOVIUM,Dual LPRIA/fort,Other,No,No,TM 112 529,611200,252900,Historic England,388704
Corbridge,Coriosopitum,Definite Fort,Other,No,No,NY 98222 64842,398222,564842,Historic England,18511
Cowbridge,Bovium,Communications?,Other,No,No,SS9944074660,299440,174660,Coflein,307254
Cricklade,,NA,Other,No,No,SU 099 939,409900,193900,Historic England,216736
Dartford,NOVIOMAGUS,NA,Other,No,No,TQ 5013 7082,550130,170820,Historic England,410937
Denver,,NA,Other,No,No,TF 591 006,559100,300600,Historic England,355743
Dolaucothi,,Definite Fort,Other,No,No,SN655403,265570,240350,Pleiades,82301
Dorchester-on-Thames,,Dual LPRIA/fort,Other,Yes,Yes,SU 577 942,457700,194200,Historic England,238093
Dragonby,,Definite LPRIA site,Other,No,No,SE 905 139,490500,413900,Historic England,63764
Droitwich,Salinae,Dual LPRIA/fort,Other,No,No,SO 897 638,389700,263800,Historic England,116308
Dunstable,Durocobrivis,Communications?,Other,No,No,TL 019 219,501900,221900,Historic England,359846
Duston,,Probable LPRIA site,Other,No,No,SP 72909 60507,472909,260507,Historic England,343603
Dymock,,Dual LPRIA/fort,Other,No,No,SO 700 312,370000,231200,Historic England,113597
East Anton,,Communications?,Other,No,No,SU 371 474,437100,147400,Historic England,227984
