"","metric","value","shuffle"
"1","Mean Edge Betweeness",24356.5479276373,FALSE
"2","Mean Edge Betweeness",13185.2021622528,TRUE
"3","Mean Edge Betweeness",16202.3341872059,TRUE
"4","Mean Edge Betweeness",11597.7639804891,TRUE
"5","Mean Edge Betweeness",9765.79225839363,TRUE
"6","Mean Edge Betweeness",15946.8144170696,TRUE
"7","Mean Edge Betweeness",9237.28156179015,TRUE
"8","Mean Edge Betweeness",17028.7788291819,TRUE
"9","Mean Edge Betweeness",14989.0889020471,TRUE
"10","Mean Edge Betweeness",12815.6484475683,TRUE
"11","Mean Edge Betweeness",16915.4980047271,TRUE
"12","Mean Edge Betweeness",21216.9293260498,TRUE
"13","Mean Edge Betweeness",11103.2664037515,TRUE
"14","Mean Edge Betweeness",11244.1161578686,TRUE
"15","Mean Edge Betweeness",11160.2051624835,TRUE
"16","Mean Edge Betweeness",10855.6330096429,TRUE
"17","Mean Edge Betweeness",15422.7098266499,TRUE
"18","Mean Edge Betweeness",13861.4769077602,TRUE
"19","Mean Edge Betweeness",18455.7022146343,TRUE
"20","Mean Edge Betweeness",16962.4764770923,TRUE
"21","Mean Edge Betweeness",22509.4066429595,TRUE
"22","Mean Edge Betweeness",24221.5411585628,TRUE
"23","Mean Edge Betweeness",14238.3829815377,TRUE
"24","Mean Edge Betweeness",15048.5060876611,TRUE
"25","Mean Edge Betweeness",11714.0510979312,TRUE
"26","Mean Edge Betweeness",13846.8175530756,TRUE
"27","Mean Edge Betweeness",9990.54843815746,TRUE
"28","Mean Edge Betweeness",19547.2495317522,TRUE
"29","Mean Edge Betweeness",20501.4326629074,TRUE
"30","Mean Edge Betweeness",19049.3517307455,TRUE
"31","Mean Edge Betweeness",18275.7890509118,TRUE
"32","Mean Edge Betweeness",20678.5678079423,TRUE
"33","Mean Edge Betweeness",12277.6187254481,TRUE
"34","Mean Edge Betweeness",9572.64576658166,TRUE
"35","Mean Edge Betweeness",17268.4393851513,TRUE
"36","Mean Edge Betweeness",17186.3342608361,TRUE
"37","Mean Edge Betweeness",23085.4072134732,TRUE
"38","Mean Edge Betweeness",14805.6674375351,TRUE
"39","Mean Edge Betweeness",24718.2997301094,TRUE
"40","Mean Edge Betweeness",17968.4616658869,TRUE
"41","Mean Edge Betweeness",19342.5177786374,TRUE
"42","Mean Edge Betweeness",9536.91615845547,TRUE
"43","Mean Edge Betweeness",8737.41413210321,TRUE
"44","Mean Edge Betweeness",16972.3456711856,TRUE
"45","Mean Edge Betweeness",8796.31821292712,TRUE
"46","Mean Edge Betweeness",10632.8836297593,TRUE
"47","Mean Edge Betweeness",11034.5896749448,TRUE
"48","Mean Edge Betweeness",13904.8243032484,TRUE
"49","Mean Edge Betweeness",10273.1930848097,TRUE
"50","Mean Edge Betweeness",9944.42948180609,TRUE
"51","Mean Edge Betweeness",11689.0658046626,TRUE
"52","Mean Edge Betweeness",19772.2099304843,TRUE
"53","Mean Edge Betweeness",19176.3990996297,TRUE
"54","Mean Edge Betweeness",16433.792936481,TRUE
"55","Mean Edge Betweeness",12364.2197076404,TRUE
