"","metric","value","shuffle"
"1","Mean Edge Betweeness",23969.9928980753,FALSE
"2","Mean Edge Betweeness",17264.1460957809,TRUE
"3","Mean Edge Betweeness",9433.94140192552,TRUE
"4","Mean Edge Betweeness",19688.5166013346,TRUE
"5","Mean Edge Betweeness",13429.0910868707,TRUE
"6","Mean Edge Betweeness",19564.108501888,TRUE
"7","Mean Edge Betweeness",20278.87348435,TRUE
"8","Mean Edge Betweeness",16904.7826720876,TRUE
"9","Mean Edge Betweeness",14223.0919559566,TRUE
"10","Mean Edge Betweeness",8954.5367305448,TRUE
"11","Mean Edge Betweeness",16139.2634736456,TRUE
"12","Mean Edge Betweeness",17575.2147055519,TRUE
"13","Mean Edge Betweeness",14666.5850739092,TRUE
"14","Mean Edge Betweeness",18220.437397468,TRUE
"15","Mean Edge Betweeness",13673.863382971,TRUE
"16","Mean Edge Betweeness",8720.71746451154,TRUE
"17","Mean Edge Betweeness",22735.9893670596,TRUE
"18","Mean Edge Betweeness",18245.0905279378,TRUE
"19","Mean Edge Betweeness",23133.5450404551,TRUE
"20","Mean Edge Betweeness",15571.7780357677,TRUE
"21","Mean Edge Betweeness",17795.0615751337,TRUE
"22","Mean Edge Betweeness",11828.4365304131,TRUE
"23","Mean Edge Betweeness",16346.0150711753,TRUE
"24","Mean Edge Betweeness",11396.8083797478,TRUE
"25","Mean Edge Betweeness",16520.0158348538,TRUE
"26","Mean Edge Betweeness",22236.6753800314,TRUE
"27","Mean Edge Betweeness",22329.1667368363,TRUE
"28","Mean Edge Betweeness",12432.6145790787,TRUE
"29","Mean Edge Betweeness",18606.7776500583,TRUE
"30","Mean Edge Betweeness",19025.4531729194,TRUE
"31","Mean Edge Betweeness",18922.4495644403,TRUE
"32","Mean Edge Betweeness",21030.8488416449,TRUE
"33","Mean Edge Betweeness",17920.7081784257,TRUE
"34","Mean Edge Betweeness",16010.0206389713,TRUE
"35","Mean Edge Betweeness",17589.8665482026,TRUE
"36","Mean Edge Betweeness",16514.9766115309,TRUE
"37","Mean Edge Betweeness",21546.0904466986,TRUE
"38","Mean Edge Betweeness",12749.9326984019,TRUE
"39","Mean Edge Betweeness",16111.5596631046,TRUE
"40","Mean Edge Betweeness",17268.7820509038,TRUE
"41","Mean Edge Betweeness",8127.14594851346,TRUE
"42","Mean Edge Betweeness",19046.9286975189,TRUE
"43","Mean Edge Betweeness",13590.7397473133,TRUE
"44","Mean Edge Betweeness",16453.6539931564,TRUE
"45","Mean Edge Betweeness",6408.36398001202,TRUE
"46","Mean Edge Betweeness",25693.977306101,TRUE
"47","Mean Edge Betweeness",14878.6278831834,TRUE
"48","Mean Edge Betweeness",9376.23018610898,TRUE
"49","Mean Edge Betweeness",24175.9227939229,TRUE
"50","Mean Edge Betweeness",15915.0205907834,TRUE
"51","Mean Edge Betweeness",7732.48254831052,TRUE
"52","Mean Edge Betweeness",10864.1562948494,TRUE
"53","Mean Edge Betweeness",13508.5496731477,TRUE
"54","Mean Edge Betweeness",7937.4988600678,TRUE
"55","Mean Edge Betweeness",22003.4333350695,TRUE
"56","Mean Edge Betweeness",12804.2303074991,TRUE
"57","Mean Edge Betweeness",15194.8741708938,TRUE
"58","Mean Edge Betweeness",18190.032624972,TRUE
"59","Mean Edge Betweeness",13269.3219679105,TRUE
"60","Mean Edge Betweeness",18853.5548744714,TRUE
"61","Mean Edge Betweeness",15306.2376954694,TRUE
"62","Mean Edge Betweeness",15227.0612043124,TRUE
"63","Mean Edge Betweeness",14181.3782149399,TRUE
"64","Mean Edge Betweeness",10557.693902964,TRUE
"65","Mean Edge Betweeness",16414.3373253009,TRUE
"66","Mean Edge Betweeness",7851.3393827212,TRUE
"67","Mean Edge Betweeness",14763.9675393719,TRUE
"68","Mean Edge Betweeness",22485.474856837,TRUE
"69","Mean Edge Betweeness",23053.8364024806,TRUE
"70","Mean Edge Betweeness",14610.245646723,TRUE
"71","Mean Edge Betweeness",19629.5092491873,TRUE
"72","Mean Edge Betweeness",18017.3750041218,TRUE
"73","Mean Edge Betweeness",11393.8397632064,TRUE
"74","Mean Edge Betweeness",11041.7612979793,TRUE
"75","Mean Edge Betweeness",14205.3851445233,TRUE
"76","Mean Edge Betweeness",11278.8679311914,TRUE
"77","Mean Edge Betweeness",14193.4984879462,TRUE
"78","Mean Edge Betweeness",12822.3007769781,TRUE
"79","Mean Edge Betweeness",11943.017056844,TRUE
"80","Mean Edge Betweeness",17893.2443953026,TRUE
"81","Mean Edge Betweeness",20432.0715680463,TRUE
"82","Mean Edge Betweeness",18050.58263353,TRUE
"83","Mean Edge Betweeness",18080.4260390195,TRUE
"84","Mean Edge Betweeness",21076.0276397378,TRUE
"85","Mean Edge Betweeness",11218.600808672,TRUE
"86","Mean Edge Betweeness",22284.9142186574,TRUE
"87","Mean Edge Betweeness",16198.7375968391,TRUE
"88","Mean Edge Betweeness",17931.2531694081,TRUE
"89","Mean Edge Betweeness",16420.6756824405,TRUE
"90","Mean Edge Betweeness",16269.5921786239,TRUE
"91","Mean Edge Betweeness",12014.4851982516,TRUE
"92","Mean Edge Betweeness",5978.53571945898,TRUE
"93","Mean Edge Betweeness",14235.4245585635,TRUE
"94","Mean Edge Betweeness",14188.6690652993,TRUE
"95","Mean Edge Betweeness",10983.285969671,TRUE
"96","Mean Edge Betweeness",15366.9046190541,TRUE
"97","Mean Edge Betweeness",14033.583342682,TRUE
"98","Mean Edge Betweeness",18686.6618593492,TRUE
"99","Mean Edge Betweeness",11816.9861052695,TRUE
"100","Mean Edge Betweeness",18193.5572923361,TRUE
"101","Mean Edge Betweeness",17711.5550193599,TRUE
"102","Mean Edge Betweeness",15682.7744989381,TRUE
"103","Mean Edge Betweeness",17170.645222061,TRUE
"104","Mean Edge Betweeness",7977.94000748646,TRUE
"105","Mean Edge Betweeness",17787.9817097162,TRUE
"106","Mean Edge Betweeness",22452.8483654034,TRUE
"107","Mean Edge Betweeness",18439.4323134702,TRUE
"108","Mean Edge Betweeness",7701.96195861444,TRUE
"109","Mean Edge Betweeness",11801.261132413,TRUE
"110","Mean Edge Betweeness",21117.8779700605,TRUE
"111","Mean Edge Betweeness",10165.5037188272,TRUE
"112","Mean Edge Betweeness",9355.9942369674,TRUE
"113","Mean Edge Betweeness",15204.9445145032,TRUE
"114","Mean Edge Betweeness",17265.3577539394,TRUE
"115","Mean Edge Betweeness",9825.8608593517,TRUE
"116","Mean Edge Betweeness",16961.2025509488,TRUE
"117","Mean Edge Betweeness",8935.94041198693,TRUE
"118","Mean Edge Betweeness",16340.1016556256,TRUE
"119","Mean Edge Betweeness",16277.0984139482,TRUE
"120","Mean Edge Betweeness",12551.1572238145,TRUE
"121","Mean Edge Betweeness",13982.6614687715,TRUE
"122","Mean Edge Betweeness",9519.43421893719,TRUE
"123","Mean Edge Betweeness",16072.5390759848,TRUE
"124","Mean Edge Betweeness",24472.2837230249,TRUE
"125","Mean Edge Betweeness",14184.053865067,TRUE
"126","Mean Edge Betweeness",21357.3650247377,TRUE
"127","Mean Edge Betweeness",20961.0141096304,TRUE
"128","Mean Edge Betweeness",9198.14969523456,TRUE
"129","Mean Edge Betweeness",18105.9132733023,TRUE
"130","Mean Edge Betweeness",23389.0981134169,TRUE
"131","Mean Edge Betweeness",15022.7343696314,TRUE
"132","Mean Edge Betweeness",12807.9989007811,TRUE
"133","Mean Edge Betweeness",14834.8248721259,TRUE
"134","Mean Edge Betweeness",17455.7201054313,TRUE
"135","Mean Edge Betweeness",18563.5076651096,TRUE
"136","Mean Edge Betweeness",21066.5445015166,TRUE
"137","Mean Edge Betweeness",10868.9184692308,TRUE
"138","Mean Edge Betweeness",17471.6864705575,TRUE
"139","Mean Edge Betweeness",22935.3809868872,TRUE
"140","Mean Edge Betweeness",12204.3308527104,TRUE
"141","Mean Edge Betweeness",19241.3916850491,TRUE
"142","Mean Edge Betweeness",13820.114534339,TRUE
"143","Mean Edge Betweeness",20238.6257836663,TRUE
"144","Mean Edge Betweeness",17087.720677988,TRUE
"145","Mean Edge Betweeness",18192.3513974088,TRUE
"146","Mean Edge Betweeness",8765.05806106604,TRUE
"147","Mean Edge Betweeness",23773.9985039061,TRUE
"148","Mean Edge Betweeness",14116.5152867998,TRUE
"149","Mean Edge Betweeness",11256.47052308,TRUE
"150","Mean Edge Betweeness",16481.7157010076,TRUE
"151","Mean Edge Betweeness",16212.3736038434,TRUE
"152","Mean Edge Betweeness",8341.72507862826,TRUE
"153","Mean Edge Betweeness",13856.2686999368,TRUE
"154","Mean Edge Betweeness",12309.3196568944,TRUE
"155","Mean Edge Betweeness",12725.361609595,TRUE
"156","Mean Edge Betweeness",13843.7923369891,TRUE
"157","Mean Edge Betweeness",19515.3421435287,TRUE
"158","Mean Edge Betweeness",10811.0703004147,TRUE
"159","Mean Edge Betweeness",11946.8198579645,TRUE
"160","Mean Edge Betweeness",21546.3256782293,TRUE
"161","Mean Edge Betweeness",17442.00199464,TRUE
"162","Mean Edge Betweeness",8063.59613671351,TRUE
"163","Mean Edge Betweeness",7523.37436217041,TRUE
"164","Mean Edge Betweeness",13316.6641534095,TRUE
"165","Mean Edge Betweeness",16351.7693331826,TRUE
"166","Mean Edge Betweeness",20429.3473240668,TRUE
"167","Mean Edge Betweeness",13507.4184567321,TRUE
"168","Mean Edge Betweeness",18517.9341704494,TRUE
"169","Mean Edge Betweeness",20564.5283680026,TRUE
"170","Mean Edge Betweeness",20537.538240533,TRUE
"171","Mean Edge Betweeness",13246.7182242477,TRUE
"172","Mean Edge Betweeness",9991.45094042423,TRUE
"173","Mean Edge Betweeness",10364.8054054601,TRUE
"174","Mean Edge Betweeness",21047.0763162559,TRUE
"175","Mean Edge Betweeness",14947.1664150957,TRUE
"176","Mean Edge Betweeness",13839.2208676939,TRUE
"177","Mean Edge Betweeness",11704.7016739275,TRUE
"178","Mean Edge Betweeness",15110.3942945554,TRUE
"179","Mean Edge Betweeness",14473.0581001833,TRUE
"180","Mean Edge Betweeness",13382.6307378057,TRUE
"181","Mean Edge Betweeness",15255.229294559,TRUE
"182","Mean Edge Betweeness",21796.2086248023,TRUE
"183","Mean Edge Betweeness",18212.9976159671,TRUE
"184","Mean Edge Betweeness",14257.819447682,TRUE
"185","Mean Edge Betweeness",19108.8341662301,TRUE
"186","Mean Edge Betweeness",15538.5935342795,TRUE
"187","Mean Edge Betweeness",12254.6354951978,TRUE
"188","Mean Edge Betweeness",14414.8479607143,TRUE
"189","Mean Edge Betweeness",12095.1405714504,TRUE
"190","Mean Edge Betweeness",20288.8807622555,TRUE
"191","Mean Edge Betweeness",12560.2939906862,TRUE
"192","Mean Edge Betweeness",13012.9762289277,TRUE
"193","Mean Edge Betweeness",11859.5224478095,TRUE
"194","Mean Edge Betweeness",19929.3411489795,TRUE
"195","Mean Edge Betweeness",11633.5609622005,TRUE
"196","Mean Edge Betweeness",10900.8132675415,TRUE
"197","Mean Edge Betweeness",17154.2070296791,TRUE
"198","Mean Edge Betweeness",16305.6765539751,TRUE
"199","Mean Edge Betweeness",11478.9612731225,TRUE
"200","Mean Edge Betweeness",14754.9995081596,TRUE
"201","Mean Edge Betweeness",12734.1273913767,TRUE
"202","Mean Edge Betweeness",14061.4099574666,TRUE
"203","Mean Edge Betweeness",25451.0004185448,TRUE
"204","Mean Edge Betweeness",15350.9866730592,TRUE
"205","Mean Edge Betweeness",22982.3903606111,TRUE
"206","Mean Edge Betweeness",15920.4014966707,TRUE
"207","Mean Edge Betweeness",11730.9687990483,TRUE
"208","Mean Edge Betweeness",12907.9510021365,TRUE
"209","Mean Edge Betweeness",9514.2455712818,TRUE
"210","Mean Edge Betweeness",21003.9835850374,TRUE
"211","Mean Edge Betweeness",14642.7563441347,TRUE
"212","Mean Edge Betweeness",17650.7035835039,TRUE
"213","Mean Edge Betweeness",11438.7608275968,TRUE
"214","Mean Edge Betweeness",8870.510942831,TRUE
"215","Mean Edge Betweeness",23365.7269249271,TRUE
"216","Mean Edge Betweeness",19122.4341821567,TRUE
"217","Mean Edge Betweeness",11850.5204374765,TRUE
"218","Mean Edge Betweeness",14606.7541894416,TRUE
"219","Mean Edge Betweeness",15955.9857505717,TRUE
"220","Mean Edge Betweeness",18566.8084497833,TRUE
"221","Mean Edge Betweeness",25017.1788107416,TRUE
"222","Mean Edge Betweeness",16729.4222536549,TRUE
"223","Mean Edge Betweeness",6150.50706992329,TRUE
"224","Mean Edge Betweeness",10696.6120104716,TRUE
"225","Mean Edge Betweeness",14589.4625461343,TRUE
"226","Mean Edge Betweeness",21533.1473094053,TRUE
"227","Mean Edge Betweeness",12272.7296711978,TRUE
"228","Mean Edge Betweeness",13272.2362664932,TRUE
"229","Mean Edge Betweeness",19163.6827416218,TRUE
"230","Mean Edge Betweeness",13951.0595118767,TRUE
"231","Mean Edge Betweeness",15737.514709627,TRUE
"232","Mean Edge Betweeness",11201.9742590943,TRUE
"233","Mean Edge Betweeness",18466.7878282454,TRUE
"234","Mean Edge Betweeness",9500.40819990311,TRUE
"235","Mean Edge Betweeness",19083.9816492275,TRUE
"236","Mean Edge Betweeness",17576.4297605655,TRUE
"237","Mean Edge Betweeness",18353.8940524127,TRUE
"238","Mean Edge Betweeness",18583.2236347416,TRUE
"239","Mean Edge Betweeness",14253.627443883,TRUE
"240","Mean Edge Betweeness",10710.1849689056,TRUE
"241","Mean Edge Betweeness",20679.902199369,TRUE
"242","Mean Edge Betweeness",10258.8438589502,TRUE
"243","Mean Edge Betweeness",17105.7163766921,TRUE
"244","Mean Edge Betweeness",13987.1394467108,TRUE
"245","Mean Edge Betweeness",21008.9560625024,TRUE
"246","Mean Edge Betweeness",12260.9718574528,TRUE
"247","Mean Edge Betweeness",13024.0583930454,TRUE
"248","Mean Edge Betweeness",8279.3910551689,TRUE
"249","Mean Edge Betweeness",17421.6641494373,TRUE
"250","Mean Edge Betweeness",33367.7582960601,TRUE
"251","Mean Edge Betweeness",16444.5284763242,TRUE
"252","Mean Edge Betweeness",5806.07742685022,TRUE
"253","Mean Edge Betweeness",20245.6906327532,TRUE
"254","Mean Edge Betweeness",14135.1875500568,TRUE
"255","Mean Edge Betweeness",15956.676599994,TRUE
"256","Mean Edge Betweeness",19521.4860641976,TRUE
"257","Mean Edge Betweeness",12397.8940986359,TRUE
"258","Mean Edge Betweeness",5096.24303157105,TRUE
"259","Mean Edge Betweeness",5877.39022477636,TRUE
"260","Mean Edge Betweeness",20271.3059144273,TRUE
"261","Mean Edge Betweeness",22659.5109378696,TRUE
"262","Mean Edge Betweeness",11878.322529031,TRUE
"263","Mean Edge Betweeness",18445.8787377685,TRUE
"264","Mean Edge Betweeness",15609.5746099446,TRUE
"265","Mean Edge Betweeness",18560.4540630862,TRUE
"266","Mean Edge Betweeness",14958.104290195,TRUE
"267","Mean Edge Betweeness",17986.5809432095,TRUE
"268","Mean Edge Betweeness",11387.6277805442,TRUE
"269","Mean Edge Betweeness",16885.6559395568,TRUE
"270","Mean Edge Betweeness",17464.4912377419,TRUE
"271","Mean Edge Betweeness",10664.6035975683,TRUE
"272","Mean Edge Betweeness",9049.79981831023,TRUE
"273","Mean Edge Betweeness",10535.7207227886,TRUE
"274","Mean Edge Betweeness",23529.334893205,TRUE
"275","Mean Edge Betweeness",14674.3606951612,TRUE
"276","Mean Edge Betweeness",13041.0192371046,TRUE
"277","Mean Edge Betweeness",13515.2173855025,TRUE
"278","Mean Edge Betweeness",12175.9270125043,TRUE
"279","Mean Edge Betweeness",20334.4436616354,TRUE
"280","Mean Edge Betweeness",11451.0843744395,TRUE
"281","Mean Edge Betweeness",20981.9482190585,TRUE
"282","Mean Edge Betweeness",18103.0164934754,TRUE
"283","Mean Edge Betweeness",19172.844918631,TRUE
"284","Mean Edge Betweeness",12640.7995972427,TRUE
"285","Mean Edge Betweeness",16038.1720381816,TRUE
"286","Mean Edge Betweeness",15281.9849536616,TRUE
"287","Mean Edge Betweeness",12796.731974985,TRUE
"288","Mean Edge Betweeness",17359.9868930796,TRUE
"289","Mean Edge Betweeness",20845.8080607534,TRUE
"290","Mean Edge Betweeness",12387.1209604694,TRUE
"291","Mean Edge Betweeness",14596.9941693263,TRUE
"292","Mean Edge Betweeness",13993.9744347579,TRUE
"293","Mean Edge Betweeness",20684.008094742,TRUE
"294","Mean Edge Betweeness",9810.32914062123,TRUE
"295","Mean Edge Betweeness",16682.6025784802,TRUE
"296","Mean Edge Betweeness",9391.21357057058,TRUE
"297","Mean Edge Betweeness",15947.0620315284,TRUE
"298","Mean Edge Betweeness",19388.418766195,TRUE
"299","Mean Edge Betweeness",12604.4525804129,TRUE
"300","Mean Edge Betweeness",23750.4902974507,TRUE
"301","Mean Edge Betweeness",21429.5878627599,TRUE
"302","Mean Edge Betweeness",18313.8353659809,TRUE
"303","Mean Edge Betweeness",14155.7707717082,TRUE
"304","Mean Edge Betweeness",15285.9597377944,TRUE
"305","Mean Edge Betweeness",8304.63930248813,TRUE
"306","Mean Edge Betweeness",17597.8067560673,TRUE
"307","Mean Edge Betweeness",12831.3311944054,TRUE
"308","Mean Edge Betweeness",14481.459021907,TRUE
"309","Mean Edge Betweeness",10432.2213705045,TRUE
"310","Mean Edge Betweeness",17633.988573983,TRUE
"311","Mean Edge Betweeness",8117.58875739972,TRUE
"312","Mean Edge Betweeness",20008.8813544041,TRUE
"313","Mean Edge Betweeness",21546.9358567359,TRUE
"314","Mean Edge Betweeness",13938.1365647408,TRUE
"315","Mean Edge Betweeness",18855.2555630819,TRUE
"316","Mean Edge Betweeness",13086.6369273325,TRUE
"317","Mean Edge Betweeness",13464.6386150619,TRUE
"318","Mean Edge Betweeness",16867.7347320967,TRUE
"319","Mean Edge Betweeness",17913.2505286962,TRUE
"320","Mean Edge Betweeness",20791.4248104924,TRUE
"321","Mean Edge Betweeness",10813.4403223214,TRUE
"322","Mean Edge Betweeness",13093.7197383538,TRUE
"323","Mean Edge Betweeness",10702.3919765143,TRUE
"324","Mean Edge Betweeness",8988.55880379243,TRUE
"325","Mean Edge Betweeness",12361.9535650051,TRUE
"326","Mean Edge Betweeness",15098.7507681911,TRUE
"327","Mean Edge Betweeness",18069.4296174034,TRUE
"328","Mean Edge Betweeness",22862.8973056821,TRUE
"329","Mean Edge Betweeness",18616.9304115444,TRUE
"330","Mean Edge Betweeness",15853.8915052718,TRUE
"331","Mean Edge Betweeness",11513.262833648,TRUE
"332","Mean Edge Betweeness",23218.9279048978,TRUE
"333","Mean Edge Betweeness",16389.9108619605,TRUE
"334","Mean Edge Betweeness",14524.5275636757,TRUE
"335","Mean Edge Betweeness",18610.7221629796,TRUE
"336","Mean Edge Betweeness",9796.91134418975,TRUE
"337","Mean Edge Betweeness",12394.0722216904,TRUE
"338","Mean Edge Betweeness",12973.587501576,TRUE
"339","Mean Edge Betweeness",23436.4019170587,TRUE
"340","Mean Edge Betweeness",12184.0641574029,TRUE
"341","Mean Edge Betweeness",19185.4167609803,TRUE
"342","Mean Edge Betweeness",10186.3206112425,TRUE
"343","Mean Edge Betweeness",10485.0165999492,TRUE
"344","Mean Edge Betweeness",23733.0917068716,TRUE
"345","Mean Edge Betweeness",17509.8723915247,TRUE
"346","Mean Edge Betweeness",11954.1314742989,TRUE
"347","Mean Edge Betweeness",15280.3729471226,TRUE
"348","Mean Edge Betweeness",15689.202777822,TRUE
"349","Mean Edge Betweeness",28402.788280938,TRUE
"350","Mean Edge Betweeness",15237.3308837799,TRUE
"351","Mean Edge Betweeness",13662.4993739915,TRUE
"352","Mean Edge Betweeness",19172.1958718413,TRUE
"353","Mean Edge Betweeness",13487.0817934358,TRUE
"354","Mean Edge Betweeness",14735.9959054836,TRUE
"355","Mean Edge Betweeness",14937.5000566195,TRUE
"356","Mean Edge Betweeness",21953.0786059549,TRUE
"357","Mean Edge Betweeness",18308.4518885646,TRUE
"358","Mean Edge Betweeness",19565.8261729617,TRUE
"359","Mean Edge Betweeness",10965.7782299652,TRUE
"360","Mean Edge Betweeness",7524.15948678687,TRUE
"361","Mean Edge Betweeness",19176.3956744218,TRUE
"362","Mean Edge Betweeness",13392.8665655691,TRUE
"363","Mean Edge Betweeness",9583.45727971456,TRUE
"364","Mean Edge Betweeness",14254.9678639842,TRUE
"365","Mean Edge Betweeness",13957.5497026751,TRUE
"366","Mean Edge Betweeness",10656.0051794324,TRUE
"367","Mean Edge Betweeness",12660.8291553363,TRUE
"368","Mean Edge Betweeness",12349.7025065992,TRUE
"369","Mean Edge Betweeness",15052.5715311856,TRUE
"370","Mean Edge Betweeness",10557.0918567471,TRUE
"371","Mean Edge Betweeness",22688.4870689042,TRUE
"372","Mean Edge Betweeness",9978.64205415905,TRUE
"373","Mean Edge Betweeness",20466.3004924633,TRUE
"374","Mean Edge Betweeness",17962.0649089412,TRUE
"375","Mean Edge Betweeness",15587.3237180259,TRUE
"376","Mean Edge Betweeness",14205.4866485784,TRUE
"377","Mean Edge Betweeness",17649.0304569764,TRUE
"378","Mean Edge Betweeness",11062.9099285413,TRUE
"379","Mean Edge Betweeness",19518.0062124039,TRUE
"380","Mean Edge Betweeness",16078.8276817596,TRUE
"381","Mean Edge Betweeness",12465.173131546,TRUE
"382","Mean Edge Betweeness",11166.6989468416,TRUE
"383","Mean Edge Betweeness",14523.8439199287,TRUE
"384","Mean Edge Betweeness",12931.7128594677,TRUE
"385","Mean Edge Betweeness",11701.9464807667,TRUE
"386","Mean Edge Betweeness",16807.2851336168,TRUE
"387","Mean Edge Betweeness",9737.22362346424,TRUE
"388","Mean Edge Betweeness",20485.267696429,TRUE
"389","Mean Edge Betweeness",10333.9004326378,TRUE
"390","Mean Edge Betweeness",17246.8630555366,TRUE
"391","Mean Edge Betweeness",18463.1230965591,TRUE
"392","Mean Edge Betweeness",12407.6514772268,TRUE
