"","metric","value","shuffle"
"1","Mean Nodal Efficiency",0.0590390372634994,FALSE
"2","Mean Nodal Efficiency",0.0546918107204162,TRUE
"3","Mean Nodal Efficiency",0.0543365853554514,TRUE
"4","Mean Nodal Efficiency",0.0564029361388992,TRUE
"5","Mean Nodal Efficiency",0.0589802556174564,TRUE
"6","Mean Nodal Efficiency",0.0525890439590459,TRUE
"7","Mean Nodal Efficiency",0.0559428989600894,TRUE
"8","Mean Nodal Efficiency",0.0559610093037125,TRUE
"9","Mean Nodal Efficiency",0.0568037832590626,TRUE
"10","Mean Nodal Efficiency",0.0551914660350483,TRUE
"11","Mean Nodal Efficiency",0.055433800752926,TRUE
"12","Mean Nodal Efficiency",0.0582346213955368,TRUE
"13","Mean Nodal Efficiency",0.0551589278591089,TRUE
"14","Mean Nodal Efficiency",0.0542710378677218,TRUE
"15","Mean Nodal Efficiency",0.0566447789025717,TRUE
"16","Mean Nodal Efficiency",0.0557564165964917,TRUE
"17","Mean Nodal Efficiency",0.0533649856380471,TRUE
"18","Mean Nodal Efficiency",0.0573773724357343,TRUE
"19","Mean Nodal Efficiency",0.0535910378342695,TRUE
"20","Mean Nodal Efficiency",0.055360221399624,TRUE
"21","Mean Nodal Efficiency",0.0543181113649591,TRUE
"22","Mean Nodal Efficiency",0.0588807080586717,TRUE
"23","Mean Nodal Efficiency",0.0527728171141022,TRUE
"24","Mean Nodal Efficiency",0.0550821864326344,TRUE
"25","Mean Nodal Efficiency",0.0562035171279785,TRUE
"26","Mean Nodal Efficiency",0.0580957121006253,TRUE
"27","Mean Nodal Efficiency",0.0559585168211123,TRUE
"28","Mean Nodal Efficiency",0.0599039219908057,TRUE
"29","Mean Nodal Efficiency",0.0601044848871731,TRUE
"30","Mean Nodal Efficiency",0.0547917084928115,TRUE
"31","Mean Nodal Efficiency",0.0561526116680203,TRUE
"32","Mean Nodal Efficiency",0.057079581095779,TRUE
"33","Mean Nodal Efficiency",0.0555283126652709,TRUE
"34","Mean Nodal Efficiency",0.0525070744617294,TRUE
"35","Mean Nodal Efficiency",0.0542002836582265,TRUE
"36","Mean Nodal Efficiency",0.0581083732189247,TRUE
"37","Mean Nodal Efficiency",0.0552081882653572,TRUE
"38","Mean Nodal Efficiency",0.0566215040084058,TRUE
"39","Mean Nodal Efficiency",0.0544819992618913,TRUE
"40","Mean Nodal Efficiency",0.0589205093937523,TRUE
"41","Mean Nodal Efficiency",0.0570958235858124,TRUE
"42","Mean Nodal Efficiency",0.057814286233378,TRUE
"43","Mean Nodal Efficiency",0.0590024021715837,TRUE
"44","Mean Nodal Efficiency",0.0566937208490132,TRUE
"45","Mean Nodal Efficiency",0.0551439130048968,TRUE
"46","Mean Nodal Efficiency",0.0548504917020071,TRUE
"47","Mean Nodal Efficiency",0.0551323112206737,TRUE
"48","Mean Nodal Efficiency",0.0566678963991111,TRUE
"49","Mean Nodal Efficiency",0.0550378502053218,TRUE
"50","Mean Nodal Efficiency",0.0541506950854871,TRUE
"51","Mean Nodal Efficiency",0.0559584620579522,TRUE
"52","Mean Nodal Efficiency",0.0579407744592504,TRUE
"53","Mean Nodal Efficiency",0.0550288971595604,TRUE
"54","Mean Nodal Efficiency",0.0541041009745438,TRUE
"55","Mean Nodal Efficiency",0.0539421749758982,TRUE
"56","Mean Nodal Efficiency",0.0526323147228116,TRUE
"57","Mean Nodal Efficiency",0.0582611207568873,TRUE
"58","Mean Nodal Efficiency",0.0557040180887637,TRUE
"59","Mean Nodal Efficiency",0.0566636515487156,TRUE
"60","Mean Nodal Efficiency",0.0562888079695404,TRUE
"61","Mean Nodal Efficiency",0.0567303348744638,TRUE
"62","Mean Nodal Efficiency",0.0543602198859002,TRUE
"63","Mean Nodal Efficiency",0.0536902511671582,TRUE
"64","Mean Nodal Efficiency",0.0553587636437034,TRUE
"65","Mean Nodal Efficiency",0.0573297434148548,TRUE
"66","Mean Nodal Efficiency",0.0569819339559191,TRUE
"67","Mean Nodal Efficiency",0.0575777972983878,TRUE
"68","Mean Nodal Efficiency",0.0560772324288606,TRUE
"69","Mean Nodal Efficiency",0.0561800666149672,TRUE
"70","Mean Nodal Efficiency",0.0548287852436164,TRUE
"71","Mean Nodal Efficiency",0.0564487453520836,TRUE
"72","Mean Nodal Efficiency",0.0557017248783217,TRUE
"73","Mean Nodal Efficiency",0.0545295105860594,TRUE
"74","Mean Nodal Efficiency",0.055363328933045,TRUE
"75","Mean Nodal Efficiency",0.0570099405068438,TRUE
"76","Mean Nodal Efficiency",0.0564758338442271,TRUE
"77","Mean Nodal Efficiency",0.0530183537314965,TRUE
"78","Mean Nodal Efficiency",0.0584721892160024,TRUE
"79","Mean Nodal Efficiency",0.0554194302339889,TRUE
"80","Mean Nodal Efficiency",0.0540394001344065,TRUE
"81","Mean Nodal Efficiency",0.0560366913115659,TRUE
"82","Mean Nodal Efficiency",0.0521700067370598,TRUE
"83","Mean Nodal Efficiency",0.0547815214978618,TRUE
"84","Mean Nodal Efficiency",0.0581544427588303,TRUE
"85","Mean Nodal Efficiency",0.0559656603306106,TRUE
"86","Mean Nodal Efficiency",0.0549135979605816,TRUE
"87","Mean Nodal Efficiency",0.054624446661221,TRUE
"88","Mean Nodal Efficiency",0.0516478790188566,TRUE
"89","Mean Nodal Efficiency",0.057844588965181,TRUE
"90","Mean Nodal Efficiency",0.0576209635660821,TRUE
"91","Mean Nodal Efficiency",0.0571940771145456,TRUE
"92","Mean Nodal Efficiency",0.0551459350291787,TRUE
"93","Mean Nodal Efficiency",0.057840457053567,TRUE
"94","Mean Nodal Efficiency",0.0542153902963917,TRUE
"95","Mean Nodal Efficiency",0.0557095030195387,TRUE
"96","Mean Nodal Efficiency",0.0579722933122812,TRUE
"97","Mean Nodal Efficiency",0.0550612590397939,TRUE
"98","Mean Nodal Efficiency",0.0540407253973529,TRUE
"99","Mean Nodal Efficiency",0.0547879912143775,TRUE
"100","Mean Nodal Efficiency",0.057242284287021,TRUE
"101","Mean Nodal Efficiency",0.0565529412969884,TRUE
"102","Mean Nodal Efficiency",0.0561394890105323,TRUE
"103","Mean Nodal Efficiency",0.0540848821384045,TRUE
"104","Mean Nodal Efficiency",0.0522590757587975,TRUE
"105","Mean Nodal Efficiency",0.0562007873169935,TRUE
"106","Mean Nodal Efficiency",0.0554039098223389,TRUE
"107","Mean Nodal Efficiency",0.0554983338255986,TRUE
"108","Mean Nodal Efficiency",0.0554583483206917,TRUE
"109","Mean Nodal Efficiency",0.0551185822924915,TRUE
"110","Mean Nodal Efficiency",0.0553555607026817,TRUE
"111","Mean Nodal Efficiency",0.0555898532452266,TRUE
"112","Mean Nodal Efficiency",0.0549328526870895,TRUE
"113","Mean Nodal Efficiency",0.0567800430178395,TRUE
"114","Mean Nodal Efficiency",0.0549004875835181,TRUE
"115","Mean Nodal Efficiency",0.0544024310850313,TRUE
"116","Mean Nodal Efficiency",0.0556858316665929,TRUE
"117","Mean Nodal Efficiency",0.0555499005792415,TRUE
"118","Mean Nodal Efficiency",0.0564685137542431,TRUE
"119","Mean Nodal Efficiency",0.0567675022661897,TRUE
"120","Mean Nodal Efficiency",0.0558011888742671,TRUE
"121","Mean Nodal Efficiency",0.0548881730889031,TRUE
"122","Mean Nodal Efficiency",0.0546480503346509,TRUE
"123","Mean Nodal Efficiency",0.0542994227215765,TRUE
"124","Mean Nodal Efficiency",0.0554526855305936,TRUE
"125","Mean Nodal Efficiency",0.0542897985655879,TRUE
"126","Mean Nodal Efficiency",0.0585291265052948,TRUE
"127","Mean Nodal Efficiency",0.0567143728511614,TRUE
"128","Mean Nodal Efficiency",0.055839988930079,TRUE
"129","Mean Nodal Efficiency",0.0575987114993389,TRUE
"130","Mean Nodal Efficiency",0.0555515968987313,TRUE
"131","Mean Nodal Efficiency",0.0578687774667306,TRUE
"132","Mean Nodal Efficiency",0.0554338120922374,TRUE
"133","Mean Nodal Efficiency",0.0556622509606869,TRUE
"134","Mean Nodal Efficiency",0.0558435864677461,TRUE
"135","Mean Nodal Efficiency",0.056064016423598,TRUE
"136","Mean Nodal Efficiency",0.0534001633029603,TRUE
"137","Mean Nodal Efficiency",0.058474237460192,TRUE
"138","Mean Nodal Efficiency",0.0563096284403392,TRUE
"139","Mean Nodal Efficiency",0.0553930314032004,TRUE
"140","Mean Nodal Efficiency",0.055110398652505,TRUE
"141","Mean Nodal Efficiency",0.0545535568208651,TRUE
"142","Mean Nodal Efficiency",0.0575531050371162,TRUE
"143","Mean Nodal Efficiency",0.0573259596839604,TRUE
"144","Mean Nodal Efficiency",0.0552428843559475,TRUE
"145","Mean Nodal Efficiency",0.0543852879585508,TRUE
"146","Mean Nodal Efficiency",0.0575913942647259,TRUE
"147","Mean Nodal Efficiency",0.0552665772888626,TRUE
"148","Mean Nodal Efficiency",0.0549204301326051,TRUE
"149","Mean Nodal Efficiency",0.0525416520912094,TRUE
"150","Mean Nodal Efficiency",0.0556187825131606,TRUE
"151","Mean Nodal Efficiency",0.0555157497325563,TRUE
"152","Mean Nodal Efficiency",0.0578157625094671,TRUE
"153","Mean Nodal Efficiency",0.0539143778595582,TRUE
"154","Mean Nodal Efficiency",0.0570675130044319,TRUE
"155","Mean Nodal Efficiency",0.0569905288431386,TRUE
"156","Mean Nodal Efficiency",0.0559554290771409,TRUE
"157","Mean Nodal Efficiency",0.0565871075271329,TRUE
"158","Mean Nodal Efficiency",0.0555351969076892,TRUE
"159","Mean Nodal Efficiency",0.0549806871774527,TRUE
"160","Mean Nodal Efficiency",0.0533076596710996,TRUE
"161","Mean Nodal Efficiency",0.0556294033788151,TRUE
"162","Mean Nodal Efficiency",0.0538876199969966,TRUE
"163","Mean Nodal Efficiency",0.0564970070584363,TRUE
"164","Mean Nodal Efficiency",0.0553461698948292,TRUE
"165","Mean Nodal Efficiency",0.0524330880773192,TRUE
"166","Mean Nodal Efficiency",0.0548085401797076,TRUE
"167","Mean Nodal Efficiency",0.0540661579955477,TRUE
