"","metric","value","shuffle"
"1","Mean Nodal Efficiency",0.0611931131341758,FALSE
"2","Mean Nodal Efficiency",0.0575961320979113,TRUE
"3","Mean Nodal Efficiency",0.0587124570770718,TRUE
"4","Mean Nodal Efficiency",0.0575648495582226,TRUE
"5","Mean Nodal Efficiency",0.0587196426941495,TRUE
"6","Mean Nodal Efficiency",0.0593549632707105,TRUE
"7","Mean Nodal Efficiency",0.0593822459450407,TRUE
"8","Mean Nodal Efficiency",0.0599775965990932,TRUE
"9","Mean Nodal Efficiency",0.0567957841139356,TRUE
"10","Mean Nodal Efficiency",0.0590647834186958,TRUE
"11","Mean Nodal Efficiency",0.0576031246232515,TRUE
"12","Mean Nodal Efficiency",0.0563885862796869,TRUE
"13","Mean Nodal Efficiency",0.0565070120597813,TRUE
"14","Mean Nodal Efficiency",0.060203030850479,TRUE
"15","Mean Nodal Efficiency",0.056676889972369,TRUE
"16","Mean Nodal Efficiency",0.0588773425102602,TRUE
"17","Mean Nodal Efficiency",0.0591556737901448,TRUE
"18","Mean Nodal Efficiency",0.0574632006747851,TRUE
"19","Mean Nodal Efficiency",0.0581876402579594,TRUE
"20","Mean Nodal Efficiency",0.0591668153329208,TRUE
"21","Mean Nodal Efficiency",0.0593996197438384,TRUE
"22","Mean Nodal Efficiency",0.0577213806619596,TRUE
"23","Mean Nodal Efficiency",0.0574007861915286,TRUE
"24","Mean Nodal Efficiency",0.0571535828368806,TRUE
"25","Mean Nodal Efficiency",0.0591052991210567,TRUE
"26","Mean Nodal Efficiency",0.0586207135804216,TRUE
"27","Mean Nodal Efficiency",0.0587354497498729,TRUE
"28","Mean Nodal Efficiency",0.0578114772313062,TRUE
"29","Mean Nodal Efficiency",0.0585800332745749,TRUE
"30","Mean Nodal Efficiency",0.0584279597648316,TRUE
"31","Mean Nodal Efficiency",0.0554912058021274,TRUE
"32","Mean Nodal Efficiency",0.0600248015546025,TRUE
"33","Mean Nodal Efficiency",0.0583001196140405,TRUE
"34","Mean Nodal Efficiency",0.0587791350691039,TRUE
"35","Mean Nodal Efficiency",0.0583291946733057,TRUE
"36","Mean Nodal Efficiency",0.0600574694875903,TRUE
"37","Mean Nodal Efficiency",0.0592771295928699,TRUE
"38","Mean Nodal Efficiency",0.0612091212827108,TRUE
"39","Mean Nodal Efficiency",0.0593957919101186,TRUE
"40","Mean Nodal Efficiency",0.0576377834666042,TRUE
"41","Mean Nodal Efficiency",0.0588073437216032,TRUE
"42","Mean Nodal Efficiency",0.0606002075431997,TRUE
"43","Mean Nodal Efficiency",0.0591496075600289,TRUE
"44","Mean Nodal Efficiency",0.0582916768019503,TRUE
"45","Mean Nodal Efficiency",0.0575025130605277,TRUE
"46","Mean Nodal Efficiency",0.056948210198338,TRUE
"47","Mean Nodal Efficiency",0.0585685108651775,TRUE
"48","Mean Nodal Efficiency",0.0604068425114984,TRUE
